code,name,category,product,domestic_share,overseas_ratio,note
2811,カゴメ,食品,ケチャップ・野菜ジュース,国内首位 約50%,40,トマト加工で圧倒的ブランド。健康志向で値上げ転嫁が効く
2229,カルビー,菓子,ポテトチップス,国内 約50%,20,スナック寡占。値上げ常習でも数量を維持
2897,日清食品HD,食品,カップ麺,国内 約40%,35,カップ麺の元祖ブランド。海外伸長で成長余地
2502,アサヒGHD,飲料,ビール(スーパードライ),国内寡占,50,業界主導の値上げ。欧州買収で海外比率上昇
8113,ユニ・チャーム,日用品,紙おむつ・生理用品,国内首位,60,アジア新興国で高成長。必需品で景気耐性
4452,花王,日用品,トイレタリー全般,国内上位独占級,40,洗剤・紙おむつ等ブランド多数。値上げ＋詰替で防御
4911,資生堂,化粧品,化粧品,国内首位,60,高価格帯ブランド。インバウンド・中国需要
4527,ロート製薬,ヘルスケア,目薬・スキンケア,国内首位,40,目薬国内トップ。OTC＋スキンケアで価格決定力
7956,ピジョン,日用品,哺乳瓶・ベビー用品,国内首位,60,ベビー用品の指名買い。中国・アジア展開
7309,シマノ,機械,自転車変速機,世界 約70-80%,90,自転車部品の世界寡占。実質プライスメーカー
